Date,Topic,Slides,"Example Code",Reading,Assignment
Jan 23,"Course overview, binary data representation review",lectures/lecture01-public.pdf,,*CSAPP* 1.1–1.9,
Jan 25,"Data representation, addresses",lectures/lecture02-public.pdf,,*CSAPP* 2.1,
Jan 27,"Integer representation",lectures/lecture03-public.pdf,,*CSAPP* 2.2,
Jan 30,"Integer arithmetic",lectures/lecture04-public.pdf,,*CSAPP* 2.3,
Feb 1,"Floating point",lectures/lecture05-public.pdf,,*CSAPP* 2.4,
Feb 3,"Machine-level program representation",lectures/lecture06-public.pdf,,*CSAPP* 3.1–3.4,
Feb 6,"ALU operations, arithmetic",lectures/lecture07-public.pdf,alu.zip,*CSAPP* 3.5,
Feb 8,"Control flow",lectures/lecture08-public.pdf,control.zip,*CSAPP* 3.6,
Feb 10,"Procedures, stacks",lectures/lecture09-public.pdf,control2.zip,*CSAPP* 3.7,
Feb 13,"Arrays and structs",lectures/lecture10-public.pdf,arraystruct.zip,*CSAPP* 3.8–3.9,
Feb 15,"Assembly language in class exercise",,,
Feb 17,"Code and data interactions, buffer overflows",lectures/lecture11-public.pdf,buf.zip,*CSAPP* 3.10,
Feb 20,"Program optimization (basic techniques): see Canvas for slides",,,*CSAPP* 5.1–5.8,
Feb 22,"Exam 1 review session",
Feb 24,"**Exam 1** (in class)",
Feb 27,"Pipelines",lectures/lecture13-public.pdf,,"<i>P&amp;H</i> 4.5–4.7",
Mar 1,"Program optimization (ILP, memory, profiling): see Canvas for slides",,,*CSAPP* 5.9–5.14,
Mar 3,"Memory hierarchy",lectures/lecture15-public.pdf,,*CSAPP* 6.1–6.3,
Mar 6,"Cache policies",lectures/lecture16-public.pdf,,*CSAPP* 6.4,
Mar 8,"Caches and program execution: see Canvas for slides",,,*CSAPP* 6.5,
Mar 10,"Linking basics, symbols, relocations, executables, loading",lectures/lecture18-public.pdf,,*CSAPP* 7.1–7.9,
Mar 13,"Dynamic linking, shared libraries, PIC, interpositioning",lectures/lecture19-public.pdf,dynload.zip,*CSAPP* 7.10–7.15,
Mar 15,"Exceptions, Processes",lectures/lecture20-public.pdf,,"*CSAPP* 8.1–8.4, 8.7",
Mar 17,"Signals",lectures/lecture21-public.pdf,signals.zip,*CSAPP* 8.5–8.6,
Mar 20–24,**Spring break (no classes)**,
Mar 27,"Virtual memory",lectures/lecture22-public.pdf,,*CSAPP* 9.1–9.3,
Mar 29,"Memory management, address translation",lectures/lecture23-public.pdf,,*CSAPP* 9.4–9.7,
Mar 31,"Memory mapping, dynamic memory allocation",lectures/lecture24-public.pdf,,"*CSAPP* 9.8, 9.9, 9.11",
Apr 3,"Exam 2 review session",
Apr 5,"**Exam 2** (in class)",
Apr 7,"Unix I/O, files",lectures/lecture25-public.pdf,,*CSAPP* 10.1–10.11,
Apr 10,"Networks, Internet Protocol",lectures/lecture26-public.pdf,,*CSAPP* 11.1–11.3,
Apr 12,"Sockets, Application Protocols",lectures/lecture27-public.pdf,sockets.zip,*CSAPP* 11.4,
Apr 14,"Network applications, HTTP",lectures/lecture28-public.pdf,webserver.zip,*CSAPP* 11.4–11.6,
Apr 17,"Concurrency with pthreads",lectures/lecture29-public.pdf,mt_webserver.zip,*CSAPP* 12.3,
Apr 19,"Thread synchronization",lectures/lecture30-public.pdf,synch.zip,*CSAPP* 12.4–12.5,
Apr 21,"Parallelism, concurrency issues",lectures/lecture31-public.pdf,synch2.zip,*CSAPP* 12.6–12.7,
Apr 24,"Concurrency with processes",lectures/lecture32-public.pdf,mp_webserver.zip,*CSAPP* 12.1,
Apr 26,"Concurrency with I/O multiplexing",lectures/lecture33-public.pdf,iomux.zip,*CSAPP* 12.2,
Apr 28,"Exam 3 review session",,,,
TBD,"**Exam 3** (during scheduled final exam session)"
